date,sku_id,demand_qty,on_hand
2025-10-27,SKU-1000,59.66,1213
2025-10-28,SKU-1000,65.93,1147
2025-10-29,SKU-1000,70.21,1077
2025-10-30,SKU-1000,62.57,1015
2025-10-31,SKU-1000,59.42,955
2025-11-01,SKU-1000,52.59,903
2025-11-02,SKU-1000,53.7,849
2025-11-03,SKU-1000,54.44,794
2025-11-04,SKU-1000,58.88,891
2025-11-05,SKU-1000,68.77,822
2025-11-06,SKU-1000,66.29,756
2025-11-07,SKU-1000,56.12,700
2025-11-08,SKU-1000,49.45,650
2025-11-09,SKU-1000,54.4,596
2025-11-10,SKU-1000,58.67,537
2025-11-11,SKU-1000,64.21,473
2025-11-12,SKU-1000,65.98,407
2025-11-13,SKU-1000,69.29,338
2025-11-14,SKU-1000,56.48,281
2025-11-15,SKU-1000,52.39,229
2025-11-16,SKU-1000,54.22,175
2025-11-17,SKU-1000,53.45,121
2025-11-18,SKU-1000,68.74,52
2025-11-19,SKU-1000,79.68,0
2025-11-20,SKU-1000,59.12,0
2025-11-21,SKU-1000,59.84,0
2025-11-22,SKU-1000,55.41,0
2025-11-23,SKU-1000,57.1,0
2025-11-24,SKU-1000,57.7,0
2025-11-25,SKU-1000,65.89,0
2025-11-26,SKU-1000,64.13,0
2025-11-27,SKU-1000,64.01,0
2025-11-28,SKU-1000,62.62,0
2025-11-29,SKU-1000,48.2,0
2025-11-30,SKU-1000,44.12,0
2025-12-01,SKU-1000,60.53,0
2025-12-02,SKU-1000,71.52,118
2025-12-03,SKU-1000,68.7,50
2025-12-04,SKU-1000,62.88,0
2025-12-05,SKU-1000,58.75,0
2025-12-06,SKU-1000,51.12,0
2025-12-07,SKU-1000,53.79,0
2025-12-08,SKU-1000,66.69,0
2025-12-09,SKU-1000,68.04,0
2025-12-10,SKU-1000,68.26,0
2025-12-11,SKU-1000,64.94,0
2025-12-12,SKU-1000,50.73,0
2025-12-13,SKU-1000,43.84,155
2025-12-14,SKU-1000,49.45,105
2025-12-15,SKU-1000,71.95,33
2025-12-16,SKU-1000,65.11,0
2025-12-17,SKU-1000,72.33,0
2025-12-18,SKU-1000,63.97,85
